Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_Data Driven Suite,Chrome 139.0.7258.128,,,20-08-2025 00:45:43,20-08-2025 00:47:07,1m - 23.222s,FAILED
,,,,,,,
Test Cases/FormPage/TC10_DataDriven_Successful Submission,Chrome 139.0.7258.128,,,20-08-2025 00:46:41,20-08-2025 00:47:06,25.624s,FAILED
"DATA BINDING - {""DateOfBirth"":""23011980"",""MobileNumber"":""89876543"",""Email"":""amy@hotmail.com"",""Address"":""345 Bukit Timah Singapore"",""FirstName"":""Danie"",""Hobby"":""Reading"",""LastName"":""Amy"",""Gender"":""Male"",""Location"":""West""}",,,,,,,
"callTestCase(findTestCase(""Common/TC_Launch Browser""), [:], STOP_ON_FAILURE)",Chrome 139.0.7258.128,,,20-08-2025 00:46:41,20-08-2025 00:46:48,6.855s,PASSED
"setText(findTestObject(""Module/Test Form/input_First Name""), FirstName)",Chrome 139.0.7258.128,,,20-08-2025 00:46:48,20-08-2025 00:46:51,3.767s,PASSED
"setText(findTestObject(""Module/Test Form/input_Last Name""), LastName)",Chrome 139.0.7258.128,,,20-08-2025 00:46:51,20-08-2025 00:46:52,0.928s,PASSED
"setText(findTestObject(""Module/Test Form/input_Email""), Email)",Chrome 139.0.7258.128,,,20-08-2025 00:46:52,20-08-2025 00:46:53,0.720s,PASSED
"if (Gender == ""Male"")",Chrome 139.0.7258.128,,,20-08-2025 00:46:53,20-08-2025 00:46:54,0.467s,PASSED
"setText(findTestObject(""Module/Test Form/input_Mobile number""), MobileNumber)",Chrome 139.0.7258.128,,,20-08-2025 00:46:54,20-08-2025 00:46:54,0.735s,PASSED
"click(findTestObject(""Module/Test Form/input_Date of Birth""))",Chrome 139.0.7258.128,,,20-08-2025 00:46:54,20-08-2025 00:46:55,0.410s,PASSED
delay(3),Chrome 139.0.7258.128,,,20-08-2025 00:46:55,20-08-2025 00:46:58,3.005s,PASSED
"focus(findTestObject(""Module/Test Form/input_Date of Birth""), STOP_ON_FAILURE)",Chrome 139.0.7258.128,,,20-08-2025 00:46:58,20-08-2025 00:46:58,0.293s,PASSED
"sendKeys(findTestObject(""Module/Test Form/input_Date of Birth""), DateOfBirth)",Chrome 139.0.7258.128,,,20-08-2025 00:46:58,20-08-2025 00:46:58,0.373s,PASSED
"if (Hobby == ""Sport"")",Chrome 139.0.7258.128,,,20-08-2025 00:46:58,20-08-2025 00:46:58,0.000s,PASSED
"else if (Hobby == ""Music"")",Chrome 139.0.7258.128,,,20-08-2025 00:46:58,20-08-2025 00:46:58,0.000s,PASSED
else,Chrome 139.0.7258.128,,,20-08-2025 00:46:58,20-08-2025 00:46:59,0.421s,PASSED
"click(findTestObject(""Module/Test Form/dropdown_SelectLocation""))",Chrome 139.0.7258.128,,,20-08-2025 00:46:59,20-08-2025 00:46:59,0.656s,PASSED
"setText(findTestObject(""Module/Test Form/input_Location(optional)""), Location, STOP_ON_FAILURE)",Chrome 139.0.7258.128,,,20-08-2025 00:46:59,20-08-2025 00:47:01,1.158s,PASSED
delay(3),Chrome 139.0.7258.128,,,20-08-2025 00:47:01,20-08-2025 00:47:04,3.005s,PASSED
"sendKeys(findTestObject(""Module/Test Form/input_Location(optional)""), Keys.chord(ENTER))",Chrome 139.0.7258.128,,,20-08-2025 00:47:04,20-08-2025 00:47:04,0.354s,PASSED
"setText(findTestObject(""Module/Test Form/textarea_Address(optional)""), Address)",Chrome 139.0.7258.128,,,20-08-2025 00:47:04,20-08-2025 00:47:05,1.203s,PASSED
"click(findTestObject(""Module/Test Form/button_Submit now""))",Chrome 139.0.7258.128,,,20-08-2025 00:47:05,20-08-2025 00:47:06,0.464s,PASSED
"verifyTextPresent(""Thank you for filling out the form."", false)",Chrome 139.0.7258.128,,,20-08-2025 00:47:06,20-08-2025 00:47:06,0.768s,FAILED
